t,cp,ratio,Test
0,1,A,0.568
0,1,A,0.567
0,1,B,0.739
0,1,B,0.792
0,1,C,1.021
0,1,C,0.941
0,5,A,0.67
0,5,A,0.603
0,5,B,0.763
0,5,B,0.797
0,5,C,0.991
0,5,C,0.904
15,1,A,0.592
15,1,A,0.568
15,1,B,0.751
15,1,B,0.798
15,1,C,1.036
15,1,C,0.945
15,5,A,0.689
15,5,A,0.626
15,5,B,0.782
15,5,B,0.806
15,5,C,0.979
15,5,C,0.91
30,1,A,0.588
30,1,A,0.56
30,1,B,0.743
30,1,B,0.786
30,1,C,1.025
30,1,C,0.936
30,5,A,0.687
30,5,A,0.632
30,5,B,0.781
30,5,B,0.809
30,5,C,0.982
30,5,C,0.895
45,1,A,0.605
45,1,A,0.57
45,1,B,0.762
45,1,B,0.789
45,1,C,1.032
45,1,C,0.945
45,5,A,0.738
45,5,A,0.656
45,5,B,0.778
45,5,B,0.815
45,5,C,0.986
45,5,C,0.894
60,1,A,0.6
60,1,A,0.574
60,1,B,0.76
60,1,B,0.786
60,1,C,1.018
60,1,C,0.947
60,5,A,0.722
60,5,A,0.661
60,5,B,0.804
60,5,B,0.792
60,5,C,0.965
60,5,C,0.886
